,emotion,freq,highly related,all related info
207,inquisitive,28,"['content', 'interested', 'surprised']","[('content', 1), ('interested', 1), ('surprised', 1)]"
208,anticipatory,28,"['happy', 'interested', 'hopeful', 'excited']","[('happy', 2), ('interested', 1), ('hopeful', 1), ('excited', 1)]"
209,joyous,28,"['excited', 'thrilled', 'Happy', 'nervous']","[('excited', 3), ('thrilled', 2), ('Happy', 1), ('nervous', 1)]"
210,wanted,28,"['loved', 'excited']","[('loved', 2), ('excited', 1)]"
211,doubtful,27,['apprehensive'],"[('apprehensive', 1)]"
212,affectionate,27,"['romantic', 'tender', 'pleased', 'loving']","[('romantic', 1), ('tender', 1), ('pleased', 1), ('loving', 1)]"
213,busy,27,"['productive', 'glad', 'happy', 'occupied']","[('productive', 2), ('glad', 1), ('happy', 1), ('occupied', 1)]"
214,happy.,27,"['hopeful.', 'excited.', 'surprised.', 'joyful.']","[('hopeful.', 4), ('excited.', 3), ('surprised.', 3), ('joyful.', 1)]"
215,devastated,27,"['afraid', 'powerless']","[('afraid', 1), ('powerless', 1)]"
216,embarrased,27,"['mislead', 'fearful', 'surprised', 'sorry']","[('mislead', 1), ('fearful', 1), ('surprised', 1), ('sorry', 1)]"
217,Determined,26,"['Motivated', 'Hopeful', 'Energetic', 'Nervous']","[('Motivated', 1), ('Hopeful', 1), ('Energetic', 1), ('Nervous', 1)]"
218,concern,26,"['Tiny house', 'log cabin']","[('Tiny house', 1), ('log cabin', 1)]"
219,Satisfied,26,"['Happy', 'Proud', 'Fulfilled', 'Excited']","[('Happy', 5), ('Proud', 3), ('Fulfilled', 2), ('Excited', 1)]"
220,pained,26,"['sore', 'frustrated', 'upset', 'injured']","[('sore', 1), ('frustrated', 1), ('upset', 1), ('injured', 1)]"
221,cheerful,26,"['excited', 'pride', 'joy', 'lively']","[('excited', 2), ('pride', 1), ('joy', 1), ('lively', 1)]"
222,remorseful,26,"['guilty', 'scared', 'ashamed', 'sad']","[('guilty', 1), ('scared', 1), ('ashamed', 1), ('sad', 1)]"
223,hopeless,25,"['depressed', 'scared', 'sad', 'terrified']","[('depressed', 2), ('scared', 2), ('sad', 2), ('terrified', 1)]"
224,dissatisfied,25,['unhappy'],"[('unhappy', 1)]"
225,Mad,24,"['Angry', 'Hurt', 'Embarrased', 'Concerned']","[('Angry', 2), ('Hurt', 2), ('Embarrased', 1), ('Concerned', 1)]"
226,Curious,24,"['Uncertain', 'Interested', 'Embaressed', 'Poor']","[('Uncertain', 1), ('Interested', 1), ('Embaressed', 1), ('Poor', 1)]"
227,trusting,24,"['happy', 'confident', 'excited', 'safe']","[('happy', 7), ('confident', 1), ('excited', 1), ('safe', 1)]"
228,dumb,24,[],[]
229,encouraged,24,"['supported', 'confident', 'stable', 'enthused']","[('supported', 1), ('confident', 1), ('stable', 1), ('enthused', 1)]"
230,heartbroken,24,"['sad', 'fearful', 'helpless', 'morose']","[('sad', 3), ('fearful', 1), ('helpless', 1), ('morose', 1)]"
231,full,24,"['happy', 'content', 'satisfied']","[('happy', 3), ('content', 3), ('satisfied', 1)]"
232,fortunate,24,"['grateful', 'relieved', 'beleagured']","[('grateful', 1), ('relieved', 1), ('beleagured', 1)]"
233,alone,24,"['sad', 'lost', 'guilty', 'stupid']","[('sad', 3), ('lost', 1), ('guilty', 1), ('stupid', 1)]"
234,dedicated,24,"['anxious', 'surprised']","[('anxious', 1), ('surprised', 1)]"
235,Accomplished,24,"['Happy', 'Grateful', 'powerful', 'Successful']","[('Happy', 3), ('Grateful', 1), ('powerful', 1), ('Successful', 1)]"
236,refreshed,23,"['happy', 'satisfied', 'rejuvenated', 'athletic']","[('happy', 1), ('satisfied', 1), ('rejuvenated', 1), ('athletic', 1)]"
237,special,23,"['happy', 'proud', 'loved', 'nice']","[('happy', 5), ('proud', 2), ('loved', 2), ('nice', 1)]"
238,superior,23,"['turned on', 'entitled', 'unique', 'spiteful']","[('turned on', 1), ('entitled', 1), ('unique', 1), ('spiteful', 1)]"
239,athletic,23,"['peaceful', 'content', 'strong', 'prepared']","[('peaceful', 1), ('content', 1), ('strong', 1), ('prepared', 1)]"
240,dejected,22,"['frustrated', 'Sad', 'defeated', 'unhappy']","[('frustrated', 2), ('Sad', 1), ('defeated', 1), ('unhappy', 1)]"
241,brave,22,['sad'],"[('sad', 1)]"
242,social,22,"['happy', 'satisfied']","[('happy', 2), ('satisfied', 1)]"
243,pressured,22,"['productive', 'uncomfortable']","[('productive', 1), ('uncomfortable', 1)]"
244,not applicable,22,[],[]
245,humiliated,22,"['sad', 'ridiculous', 'mollified', 'embarassed']","[('sad', 2), ('ridiculous', 1), ('mollified', 1), ('embarassed', 1)]"
246,offended,22,"['hurt', 'ashamed', 'sad', 'shocked']","[('hurt', 2), ('ashamed', 1), ('sad', 1), ('shocked', 1)]"
247,disappointment,22,"['sadness', 'disgust', 'surprise', 'frustration']","[('sadness', 1), ('disgust', 1), ('surprise', 1), ('frustration', 1)]"
248,mischevious,21,[],[]
249,alert,21,"['contented', 'curious', 'hopeful', 'happy']","[('contented', 1), ('curious', 1), ('hopeful', 1), ('happy', 1)]"
250,needy,21,"['desperate', 'sad', 'confused', 'frustrated']","[('desperate', 2), ('sad', 1), ('confused', 1), ('frustrated', 1)]"
251,romantic,21,"['tender', 'affectionate', 'anxious', 'generous']","[('tender', 1), ('affectionate', 1), ('anxious', 1), ('generous', 1)]"
252,Embarrassed,21,"['Anxious', 'Ashamed', 'Sorry', 'Dumb']","[('Anxious', 1), ('Ashamed', 1), ('Sorry', 1), ('Dumb', 1)]"
253,Hungry,21,"['Happy', 'Excited', 'Anxious', 'Anticipated']","[('Happy', 2), ('Excited', 1), ('Anxious', 1), ('Anticipated', 1)]"
254,satiated,21,['happy'],"[('happy', 2)]"
255,capable,20,"['determined', 'hard working', 'strong', 'good about themselves']","[('determined', 1), ('hard working', 1), ('strong', 1), ('good about themselves', 1)]"
256,suprised,20,"['happy', 'anger', 'excited', 'elated']","[('happy', 4), ('anger', 1), ('excited', 1), ('elated', 1)]"
257,clumsy,20,[],[]
258,important,20,"['frustrated', 'proud', 'loved', 'cared for']","[('frustrated', 1), ('proud', 1), ('loved', 1), ('cared for', 1)]"
259,compassionate,20,"['sad', 'happy', 'loved', 'worried']","[('sad', 1), ('happy', 1), ('loved', 1), ('worried', 1)]"
260,comforted,20,"['happy', 'normal', 'loving', 'warm']","[('happy', 3), ('normal', 1), ('loving', 1), ('warm', 1)]"
261,restless,20,"['bored', 'anxious', 'unsatisfied', 'unhappy']","[('bored', 2), ('anxious', 1), ('unsatisfied', 1), ('unhappy', 1)]"
262,funny,20,"['pleased', 'happy', 'akward', 'weird']","[('pleased', 1), ('happy', 1), ('akward', 1), ('weird', 1)]"
263,Tired,20,"['Relieved', 'Exhausted', 'Disappointed', 'Pleased']","[('Relieved', 2), ('Exhausted', 2), ('Disappointed', 1), ('Pleased', 1)]"
264,incompetent,20,"['disappointed', 'determined']","[('disappointed', 1), ('determined', 1)]"
265,careless,20,"['apathetic', 'distracted']","[('apathetic', 1), ('distracted', 1)]"
266,unimpressed,20,['indifferent'],"[('indifferent', 1)]"
267,hurried,20,"['rushed', 'eager', 'fidgety', 'nervous']","[('rushed', 1), ('eager', 1), ('fidgety', 1), ('nervous', 1)]"
268,thoughtful,19,"['nostalgic', 'caring', 'loving', 'happy']","[('nostalgic', 1), ('caring', 1), ('loving', 1), ('happy', 1)]"
269,carefree,19,"['dirty', 'relaxed', 'happy', 'protected']","[('dirty', 1), ('relaxed', 1), ('happy', 1), ('protected', 1)]"
270,cold,19,"['', 'scared', 'thankful', 'loved']","[('', 1), ('scared', 1), ('thankful', 1), ('loved', 1)]"
271,understanding,19,"['concerned', 'confused']","[('concerned', 1), ('confused', 1)]"
272,contented,19,"['happy', 'calm', 'alert', 'fulfilled']","[('happy', 2), ('calm', 1), ('alert', 1), ('fulfilled', 1)]"
273,exhilarated,19,"['happy', 'elated', 'victorious', 'relieved']","[('happy', 3), ('elated', 1), ('victorious', 1), ('relieved', 1)]"
274,flustered,19,"['relieved', 'panicked', 'upset', 'embarassed']","[('relieved', 1), ('panicked', 1), ('upset', 1), ('embarassed', 1)]"
275,perplexed,19,"['annoyed', 'irritated']","[('annoyed', 1), ('irritated', 1)]"
276,passionate,19,"['excited', 'determined']","[('excited', 1), ('determined', 1)]"
277,EXCITED,19,"['HAPPY', 'GOOD', 'SATISFIED']","[('HAPPY', 6), ('GOOD', 1), ('SATISFIED', 1)]"
278,Hurt,19,"['Confused', 'Disappointed', 'Mad', 'Sad']","[('Confused', 1), ('Disappointed', 1), ('Mad', 1), ('Sad', 1)]"
279,SAD,18,"['HAPPY', 'LOVE', 'WORRIED', 'FEAR']","[('HAPPY', 2), ('LOVE', 2), ('WORRIED', 1), ('FEAR', 1)]"
280,inadequate,18,"['inferior', 'self-conscious']","[('inferior', 1), ('self-conscious', 1)]"
281,agitated,18,"['irritable', 'upset']","[('irritable', 1), ('upset', 1)]"
282,giving,18,['communal'],"[('communal', 1)]"
283,entitled,18,"['angry', 'lazy', 'turned on', 'superior']","[('angry', 2), ('lazy', 1), ('turned on', 1), ('superior', 1)]"
284,let down,18,"['disappointed', 'angry', 'unsuccessful', 'sad']","[('disappointed', 2), ('angry', 1), ('unsuccessful', 1), ('sad', 1)]"
285,Pleased,18,"['Tired', 'glad']","[('Tired', 1), ('glad', 1)]"
286,irresponsible,18,"['ashamed', 'embarrassed']","[('ashamed', 1), ('embarrassed', 1)]"
287,active,18,"['happy', 'excited', 'enthused', 'relief']","[('happy', 3), ('excited', 2), ('enthused', 1), ('relief', 1)]"
288,informed,18,"['overwhelmed', 'conflicted', 'educated', 'satisfied']","[('overwhelmed', 1), ('conflicted', 1), ('educated', 1), ('satisfied', 1)]"
289,in love,18,"['excited', 'happy', 'enamored', 'impressed']","[('excited', 1), ('happy', 1), ('enamored', 1), ('impressed', 1)]"
290,Thankful,18,"['Grateful', 'Lucky', 'Relieved', 'Disoriented']","[('Grateful', 2), ('Lucky', 2), ('Relieved', 1), ('Disoriented', 1)]"
291,thirsty,18,['upset'],"[('upset', 1)]"
292,knowledgeable,18,"['informed', 'happy', 'satisfied', 'determined']","[('informed', 1), ('happy', 1), ('satisfied', 1), ('determined', 1)]"
293,cool,18,"['excited', 'adventurous', 'happy']","[('excited', 2), ('adventurous', 1), ('happy', 1)]"
294,intelligent,17,"['particular', 'helpful', 'caring', 'accomplished']","[('particular', 1), ('helpful', 1), ('caring', 1), ('accomplished', 1)]"
295,Confused,17,"['Surprised', 'Scared', 'Lost', 'Hurt']","[('Surprised', 2), ('Scared', 2), ('Lost', 1), ('Hurt', 1)]"
296,Guilty,17,"['Ill', 'Tired', 'Sad', 'Grieving']","[('Ill', 1), ('Tired', 1), ('Sad', 1), ('Grieving', 1)]"
297,rested,17,"['relieved', 'exhilarated']","[('relieved', 1), ('exhilarated', 1)]"
298,anxiety,17,"['fear', 'hopeful', 'upset', 'Excited']","[('fear', 2), ('hopeful', 1), ('upset', 1), ('Excited', 1)]"
299,Good,17,"['Healthy', 'Excited']","[('Healthy', 1), ('Excited', 1)]"
300,Grateful,17,"['Thankful', 'Accomplished', 'powerful', 'Love for her']","[('Thankful', 2), ('Accomplished', 1), ('powerful', 1), ('Love for her', 1)]"
301,Joy,17,"['Happy', 'Trust', 'expectant', 'hapoy']","[('Happy', 3), ('Trust', 2), ('expectant', 1), ('hapoy', 1)]"
302,diligent,17,[],[]
303,left out,17,"['envious', 'slighted', 'embarassed', 'upset']","[('envious', 1), ('slighted', 1), ('embarassed', 1), ('upset', 1)]"
304,happy and excited,17,[],[]
305,educated,17,"['informed', 'satisfied', 'frustrated']","[('informed', 1), ('satisfied', 1), ('frustrated', 1)]"
306,daring,17,"['nervous', 'determined', 'bold']","[('nervous', 2), ('determined', 1), ('bold', 1)]"
307,Relaxed,17,"['Happy', 'Excited', 'Joy', 'Enjoying the weather']","[('Happy', 3), ('Excited', 2), ('Joy', 1), ('Enjoying the weather', 1)]"
308,skeptical,16,"['apprehensive', 'excited', 'curious']","[('apprehensive', 1), ('excited', 1), ('curious', 1)]"
309,saddened,16,"['happy', 'joyful', 'rejected', 'hurt']","[('happy', 1), ('joyful', 1), ('rejected', 1), ('hurt', 1)]"
310,miserable,16,"['upset', 'dissapointed', 'ill', 'sweaty']","[('upset', 1), ('dissapointed', 1), ('ill', 1), ('sweaty', 1)]"
311,obligated,16,"['dutiful', 'disgust', 'fear']","[('dutiful', 1), ('disgust', 1), ('fear', 1)]"
312,panic,16,"['responsible', 'frustrated', 'scared', 'anger']","[('responsible', 1), ('frustrated', 1), ('scared', 1), ('anger', 1)]"
313,Concerned,16,"['Worried', 'Mad', 'Sympathy']","[('Worried', 2), ('Mad', 1), ('Sympathy', 1)]"
314,fine,16,[],[]
315,threatened,16,['friendly'],"[('friendly', 1)]"
316,fascinated,16,[],[]
317,honored,16,"['proud', 'happy', 'special']","[('proud', 3), ('happy', 2), ('special', 1)]"
318,furious,16,"['angry', 'shocked', 'disappointed', 'upset']","[('angry', 2), ('shocked', 1), ('disappointed', 1), ('upset', 1)]"
319,abandoned,16,"['sad', 'disrespected', 'hurt']","[('sad', 1), ('disrespected', 1), ('hurt', 1)]"
320,smug,16,['satisfied'],"[('satisfied', 2)]"
321,poor,16,"['broke', 'sad', 'worried', 'burdened']","[('broke', 2), ('sad', 1), ('worried', 1), ('burdened', 1)]"
322,dissappointed,16,['hurt'],"[('hurt', 1)]"
323,giddy,16,"['happy', 'excited', 'sheepish']","[('happy', 2), ('excited', 1), ('sheepish', 1)]"
