,emotion,freq,highly related,all related info
208,exhilarated,26,"['happy', 'elated', 'victorious', 'relieved']","[('happy', 3), ('elated', 1), ('victorious', 1), ('relieved', 1)]"
209,cool,26,"['happy', 'excited', 'proud', 'strong']","[('happy', 3), ('excited', 2), ('proud', 1), ('strong', 1)]"
210,brave,26,['sad'],"[('sad', 1)]"
211,humiliated,26,"['sad', 'embarrassed', 'depressed', 'defeated']","[('sad', 3), ('embarrassed', 2), ('depressed', 1), ('defeated', 1)]"
212,encouraged,26,"['supported', 'confident', 'stable', 'enthused']","[('supported', 1), ('confident', 1), ('stable', 1), ('enthused', 1)]"
213,trusting,26,"['happy', 'confident', 'excited', 'safe']","[('happy', 8), ('confident', 1), ('excited', 1), ('safe', 1)]"
214,fortunate,25,"['grateful', 'relieved', 'beleaguered']","[('grateful', 1), ('relieved', 1), ('beleaguered', 1)]"
215,important,25,"['frustrated', 'proud', 'bold', 'annoyed']","[('frustrated', 1), ('proud', 1), ('bold', 1), ('annoyed', 1)]"
216,dedicated,25,"['anxious', 'surprised']","[('anxious', 1), ('surprised', 1)]"
217,knowledgeable,24,"['informed', 'happy', 'satisfied', 'smart']","[('informed', 1), ('happy', 1), ('satisfied', 1), ('smart', 1)]"
218,refreshed,24,"['happy', 'satisfied', 'rejuvenated', 'athletic']","[('happy', 1), ('satisfied', 1), ('rejuvenated', 1), ('athletic', 1)]"
219,alone,24,"['sad', 'lost', 'guilty', 'stupid']","[('sad', 3), ('lost', 1), ('guilty', 1), ('stupid', 1)]"
220,offended,24,"['hurt', 'ashamed', 'sad', 'shocked']","[('hurt', 2), ('ashamed', 1), ('sad', 1), ('shocked', 1)]"
221,hurried,24,"['rushed', 'eager', 'fidgety', 'nervous']","[('rushed', 1), ('eager', 1), ('fidgety', 1), ('nervous', 1)]"
222,panic,23,"['stress', 'responsible', 'frustrated', 'scared']","[('stress', 1), ('responsible', 1), ('frustrated', 1), ('scared', 1)]"
223,athletic,23,"['peaceful', 'content', 'strong', 'prepared']","[('peaceful', 1), ('content', 1), ('strong', 1), ('prepared', 1)]"
224,agitated,22,"['annoyed', 'irritable', 'upset']","[('annoyed', 1), ('irritable', 1), ('upset', 1)]"
225,superior,22,"['unique', 'spiteful', 'haughty']","[('unique', 1), ('spiteful', 1), ('haughty', 1)]"
226,carefree,22,"['dirty', 'relaxed', 'happy', 'protected']","[('dirty', 1), ('relaxed', 1), ('happy', 1), ('protected', 1)]"
227,funny,22,"['pleased', 'happy', 'award', 'weird']","[('pleased', 1), ('happy', 1), ('award', 1), ('weird', 1)]"
228,social,22,"['happy', 'satisfied']","[('happy', 2), ('satisfied', 1)]"
229,compassionate,22,"['happy', 'sad', 'loved', 'upset']","[('happy', 2), ('sad', 1), ('loved', 1), ('upset', 1)]"
230,satiated,22,['happy'],"[('happy', 2)]"
231,incompetent,22,"['disappointed', 'determined']","[('disappointed', 1), ('determined', 1)]"
232,restless,22,"['bored', 'anxious', 'unsatisfied', 'lonely']","[('bored', 2), ('anxious', 1), ('unsatisfied', 1), ('lonely', 1)]"
233,alert,21,"['contented', 'curious', 'hopeful', 'happy']","[('contented', 1), ('curious', 1), ('hopeful', 1), ('happy', 1)]"
234,clumsy,21,['annoyed'],"[('annoyed', 1)]"
235,comforted,21,"['happy', 'normal', 'loving', 'warm']","[('happy', 3), ('normal', 1), ('loving', 1), ('warm', 1)]"
236,capable,21,"['repressed', 'determined', 'strong', 'good']","[('repressed', 1), ('determined', 1), ('strong', 1), ('good', 1)]"
237,needy,21,"['desperate', 'sad', 'confused', 'frustrated']","[('desperate', 2), ('sad', 1), ('confused', 1), ('frustrated', 1)]"
238,furious,21,"['angry', 'shocked', 'disappointed', 'upset']","[('angry', 2), ('shocked', 1), ('disappointed', 1), ('upset', 1)]"
239,giving,21,['communal'],"[('communal', 1)]"
240,romantic,21,"['tender', 'affectionate', 'anxious', 'generous']","[('tender', 1), ('affectionate', 1), ('anxious', 1), ('generous', 1)]"
241,pleasant,21,"['lively', 'happy', 'lucky']","[('lively', 1), ('happy', 1), ('lucky', 1)]"
242,understanding,21,"['concerned', 'confused', 'warned', 'retrospective']","[('concerned', 1), ('confused', 1), ('warned', 1), ('retrospective', 1)]"
243,contented,20,"['happy', 'calm', 'alert', 'fulfilled']","[('happy', 2), ('calm', 1), ('alert', 1), ('fulfilled', 1)]"
244,nice,20,"['good', 'great', 'happy', 'awesome']","[('good', 2), ('great', 1), ('happy', 1), ('awesome', 1)]"
245,careless,20,"['apathetic', 'distracted']","[('apathetic', 1), ('distracted', 1)]"
246,thoughtful,20,"['nostalgic', 'caring', 'loving', 'happy']","[('nostalgic', 1), ('caring', 1), ('loving', 1), ('happy', 1)]"
247,unimpressed,20,['indifferent'],"[('indifferent', 1)]"
248,cold,20,"['', 'scared', 'thankful', 'loved']","[('', 1), ('scared', 1), ('thankful', 1), ('loved', 1)]"
249,passionate,20,"['excited', 'determined']","[('excited', 1), ('determined', 1)]"
250,worry,20,"['sad', 'thankfulness', 'relief', 'concern']","[('sad', 2), ('thankfulness', 1), ('relief', 1), ('concern', 1)]"
251,satisfaction,20,"['pride', 'joy', 'content', 'confidence']","[('pride', 5), ('joy', 2), ('content', 1), ('confidence', 1)]"
252,okay,19,[],[]
253,flustered,19,"['relieved', 'panicked', 'upset', 'embarrassed']","[('relieved', 1), ('panicked', 1), ('upset', 1), ('embarrassed', 1)]"
254,perplexed,19,"['annoyed', 'irritated']","[('annoyed', 1), ('irritated', 1)]"
255,giddy,19,"['happy', 'excited', 'sheepish']","[('happy', 3), ('excited', 2), ('sheepish', 1)]"
256,informed,19,"['interested', 'overwhelmed', 'conflicted', 'educated']","[('interested', 1), ('overwhelmed', 1), ('conflicted', 1), ('educated', 1)]"
257,intelligent,19,"['particular', 'helpful', 'caring', 'accomplished']","[('particular', 1), ('helpful', 1), ('caring', 1), ('accomplished', 1)]"
258,bothered,19,"['frustrated', 'uneasy', 'annoyed', 'angry']","[('frustrated', 1), ('uneasy', 1), ('annoyed', 1), ('angry', 1)]"
259,skeptical,19,"['apprehensive', 'excited', 'curious']","[('apprehensive', 1), ('excited', 1), ('curious', 1)]"
260,educated,19,"['interested', 'informed', 'satisfied', 'frustrated']","[('interested', 1), ('informed', 1), ('satisfied', 1), ('frustrated', 1)]"
261,thirsty,19,['upset'],"[('upset', 1)]"
262,honored,19,"['proud', 'happy', 'special', 'attracted']","[('proud', 3), ('happy', 2), ('special', 1), ('attracted', 1)]"
263,saddened,19,"['rejected', 'hurt', 'frustrated']","[('rejected', 1), ('hurt', 1), ('frustrated', 1)]"
264,inadequate,19,"['inferior', 'self-conscious']","[('inferior', 1), ('self-conscious', 1)]"
265,obligated,18,"['dutiful', 'disgust', 'fear']","[('dutiful', 1), ('disgust', 1), ('fear', 1)]"
266,enraged,18,"['manic', 'betrayed', 'angry', 'provoked']","[('manic', 1), ('betrayed', 1), ('angry', 1), ('provoked', 1)]"
267,fine,18,[],[]
268,irresponsible,18,"['ashamed', 'embarrassed']","[('ashamed', 1), ('embarrassed', 1)]"
269,active,18,"['happy', 'excited', 'enthused', 'relief']","[('happy', 3), ('excited', 2), ('enthused', 1), ('relief', 1)]"
270,accepted,18,"['happy', 'excited', 'friendly', 'humorous']","[('happy', 2), ('excited', 1), ('friendly', 1), ('humorous', 1)]"
271,rested,18,"['relieved', 'exhilarated']","[('relieved', 1), ('exhilarated', 1)]"
272,entitled,17,"['angry', 'lazy']","[('angry', 2), ('lazy', 1)]"
273,threatened,17,['friendly'],"[('friendly', 1)]"
274,violated,17,"['invaded', 'angry', 'scared', 'disgusted']","[('invaded', 2), ('angry', 2), ('scared', 1), ('disgusted', 1)]"
275,painful,17,"['sad', 'fear', 'scared', 'pleasing']","[('sad', 2), ('fear', 2), ('scared', 1), ('pleasing', 1)]"
276,miserable,17,"['upset', 'disappointing', 'depressed', 'ill']","[('upset', 1), ('disappointing', 1), ('depressed', 1), ('ill', 1)]"
277,poor,17,"['broke', 'sad', 'worried', 'burdened']","[('broke', 2), ('sad', 1), ('worried', 1), ('burdened', 1)]"
278,fascinated,17,[],[]
279,warm,17,"['happy', 'compassion', 'comfortable', 'comforted']","[('happy', 2), ('compassion', 1), ('comfortable', 1), ('comforted', 1)]"
280,pissed,17,['annoyed'],"[('annoyed', 1)]"
281,disturbed,17,"['worried', 'uncomfortable', 'anxious', 'fearful']","[('worried', 2), ('uncomfortable', 1), ('anxious', 1), ('fearful', 1)]"
282,diligent,17,[],[]
283,smug,17,['satisfied'],"[('satisfied', 2)]"
284,daring,17,"['nervous', 'determined', 'bold']","[('nervous', 2), ('determined', 1), ('bold', 1)]"
285,shock,16,"['surprise', 'happy', 'fear', 'disgust']","[('surprise', 1), ('happy', 1), ('fear', 1), ('disgust', 1)]"
286,fatigued,16,"['drained', 'soaked']","[('drained', 1), ('soaked', 1)]"
287,ill,16,"['disgusted', 'surprised', 'worried', 'guilty']","[('disgusted', 1), ('surprised', 1), ('worried', 1), ('guilty', 1)]"
288,hesitant,16,"['cautious', 'excited', 'nervous']","[('cautious', 2), ('excited', 1), ('nervous', 1)]"
289,better,16,[],[]
290,resentful,16,"['content', 'indifferent', 'disbelieving', 'miffed']","[('content', 1), ('indifferent', 1), ('disbelieving', 1), ('miffed', 1)]"
291,abandoned,16,"['sad', 'disrespected', 'hurt']","[('sad', 1), ('disrespected', 1), ('hurt', 1)]"
292,assured,16,"['confident', 'smart']","[('confident', 4), ('smart', 1)]"
293,unsatisfied,16,"['sad', 'angry', 'bored', 'restless']","[('sad', 1), ('angry', 1), ('bored', 1), ('restless', 1)]"
