,sentence,food,family,romance,indep,competition,approval,health,contact,serenity,rest,order,status,idealism,power,curiosity,honor,belonging,savings,tranquility
11251,The magician pulled out a top hat.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11252,The magician pulled out a top hat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11253,The magician pulled out a top hat.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11254,He pulled some fabric out of the hat.,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11255,He pulled some fabric out of the hat.,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0
11256,He pulled some fabric out of the hat.,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11257,The magician bowed to the audience.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11258,The magician bowed to the audience.,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11259,The magician bowed to the audience.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11260,Tom was getting fast food.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11261,Tom was getting fast food.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11262,Tom was getting fast food.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11263,He went up to get his food when they called his order.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11264,He went up to get his food when they called his order.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11265,He went up to get his food when they called his order.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11266,Tom noticed none of the food he wanted was there.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11267,Tom noticed none of the food he wanted was there.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11268,Tom noticed none of the food he wanted was there.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11269,The order number had been accidentally switched.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11270,The order number had been accidentally switched.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11271,The order number had been accidentally switched.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11272,Tom had to wait a bit longer for his actual food to come out.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11273,Tom was driving home.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11274,Tom was driving home.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11275,He got a speeding ticket.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11276,Tom didn't think he was speeding.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11277,Tom didn't think he was speeding.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11278,Tom didn't think he was speeding.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11279,He fought it in court.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11280,He fought it in court.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11281,He fought it in court.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11282,He fought it in court.,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1
11283,He fought it in court.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11284,The courts found in the cop's favor.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11285,The courts found in the cop's favor.,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
11286,The courts found in the cop's favor.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11287,She decided to make her own.,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11288,She decided to make her own.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11289,She decided to make her own.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11290,She got all the ingredients to make it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11291,She got all the ingredients to make it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11292,When she was done she tasted it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11293,When she was done she tasted it.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11294,When she was done she tasted it.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11295,It was the best cake she ever tasted.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11296,It was the best cake she ever tasted.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11297,It was the best cake she ever tasted.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11298,Timothy didn't have much confidence in himself.,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0
11299,Timothy didn't have much confidence in himself.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11300,Timothy didn't have much confidence in himself.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11301,It took everything he had to dance with all of his self doubt.,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
11302,It took everything he had to dance with all of his self doubt.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11303,It took everything he had to dance with all of his self doubt.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11304,Everyone loved his dancing and he won the contest.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11305,Everyone loved his dancing and he won the contest.,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
11306,Everyone loved his dancing and he won the contest.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11307,Daryl skipped across the stones poking out of the water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11308,Daryl skipped across the stones poking out of the water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11309,Daryl skipped across the stones poking out of the water.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11310,"He laughed back at us, standing on the shoreline.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11311,"He laughed back at us, standing on the shoreline.",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
11312,"He laughed back at us, standing on the shoreline.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11313,We were frightened of the fast moving river.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11314,We were frightened of the fast moving river.,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11315,We were frightened of the fast moving river.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11316,"He lost his footing on a slick rock, and drowned.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11317,"He lost his footing on a slick rock, and drowned.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11318,"He lost his footing on a slick rock, and drowned.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11319,His identity was stolen by someone who was on a murder trial.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11320,His identity was stolen by someone who was on a murder trial.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11321,"Sence matters couldn't get any worse, he went to speak to the man.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11322,"Sence matters couldn't get any worse, he went to speak to the man.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11323,"Hoping to rebuild his shattered life, He listens to the man's story.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
11324,"Hoping to rebuild his shattered life, He listens to the man's story.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11325,"Hoping to rebuild his shattered life, He listens to the man's story.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11326,"Hoping to rebuild his shattered life, He listens to the man's story.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11327,"Hoping to rebuild his shattered life, He listens to the man's story.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11328,There wasn't anyone smarter than Jason in my class.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11329,There wasn't anyone smarter than Jason in my class.,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11330,There wasn't anyone smarter than Jason in my class.,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11331,Jason always knew the answer to everything.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11332,Jason always knew the answer to everything.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11333,Jason always knew the answer to everything.,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0
11334,I admired him for this.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
11335,I admired him for this.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
11336,"When it came to tests, Jason never did as well.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11337,"When it came to tests, Jason never did as well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11338,"When it came to tests, Jason never did as well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11339,It really hurt when I found out he had been googling all his answers.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11340,It really hurt when I found out he had been googling all his answers.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11341,Ida wanted to get stronger.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11342,Ida wanted to get stronger.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11343,She decided to start jogging.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11344,She decided to start jogging.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11345,She decided to start jogging.,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1
11346,At first she could only run a few blocks.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11347,At first she could only run a few blocks.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11348,At first she could only run a few blocks.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11349,But soon she was jogging for miles easily.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11350,But soon she was jogging for miles easily.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11351,But soon she was jogging for miles easily.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11352,Kate was going to drive her car out of town.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11353,Kate was going to drive her car out of town.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11354,Kate was going to drive her car out of town.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11355,She took it to a shop to have a tune up.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11356,She took it to a shop to have a tune up.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11357,She took it to a shop to have a tune up.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11358,She took it to a shop to have a tune up.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11359,She took it to a shop to have a tune up.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
11360,She realized they wouldn't be able to drive her car after all.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11361,She realized they wouldn't be able to drive her car after all.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
11362,She realized they wouldn't be able to drive her car after all.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11363,Tim had a local coffee shop.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11364,Tim had a local coffee shop.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11365,Tim had a local coffee shop.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11366,He decided to have a blog.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11367,He decided to have a blog.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11368,He decided to have a blog.,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11369,He posted a lot of personal information.,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11370,He posted a lot of personal information.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11371,He posted a lot of personal information.,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11372,Tim was forced to shut down shortly after.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11373,I met JC in a forum several months ago.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11374,I met JC in a forum several months ago.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11375,We started talking about work we did in private messages.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11376,We started talking about work we did in private messages.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11377,We started talking about work we did in private messages.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11378,We started talking about work we did in private messages.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11379,We started talking about work we did in private messages.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11380,We started talking about work we did in private messages.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11381,"Over time, we starting falling for each other.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11382,"Over time, we starting falling for each other.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11383,"Over time, we starting falling for each other.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11384,"We decided to move in together, having never physically met.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11385,"We decided to move in together, having never physically met.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11386,"We decided to move in together, having never physically met.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11387,"We decided to move in together, having never physically met.",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11388,"We decided to move in together, having never physically met.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11389,"We decided to move in together, having never physically met.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11390,We moved across two states to be together.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11391,We moved across two states to be together.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11392,We moved across two states to be together.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11393,We moved across two states to be together.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11394,We moved across two states to be together.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11395,She wanted to try something new with them.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11396,She wanted to try something new with them.,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
11397,She wanted to try something new with them.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11398,She decided to try to make baked apples for the first time.,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11399,She decided to try to make baked apples for the first time.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11400,She gathered everything she needed and began cooking.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11401,She gathered everything she needed and began cooking.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11402,She gathered everything she needed and began cooking.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11403,It's now her favorite apple dish!,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11404,It's now her favorite apple dish!,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11405,It's now her favorite apple dish!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11406,He held it up high and swung down hard.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11407,He held it up high and swung down hard.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11408,He held it up high and swung down hard.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11409,He broke his mom's vase she had for decades.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11410,He broke his mom's vase she had for decades.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11411,He broke his mom's vase she had for decades.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11412,Tyler went to jail for unpaid child support.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11413,Tyler went to jail for unpaid child support.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11414,Tyler went to jail for unpaid child support.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11415,He was miserable and bored.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11416,He was miserable and bored.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11417,He was miserable and bored.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11418,Then he saw that the jail had a GED program.,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
11419,Then he saw that the jail had a GED program.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11420,Then he saw that the jail had a GED program.,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0
11421,Tyler decided to use his time incarcerated to get a GED.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11422,Tyler decided to use his time incarcerated to get a GED.,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
11423,Tyler decided to use his time incarcerated to get a GED.,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0
11424,"When he left jail, he was glad to have furthered his education!",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
11425,"When he left jail, he was glad to have furthered his education!",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11426,"When he left jail, he was glad to have furthered his education!",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11427,Mike bought some soda at the store in the summer.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11428,He was supposed to go on a date and didn't want to cancel.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11429,He was supposed to go on a date and didn't want to cancel.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11430,He was supposed to go on a date and didn't want to cancel.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11431,He decided he would just cover up the mess with towels.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11432,He decided he would just cover up the mess with towels.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11433,He decided he would just cover up the mess with towels.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11434,his date was a disaster anyways and he laughed about it all.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11435,his date was a disaster anyways and he laughed about it all.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11436,Adam is walking in the city.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11437,Adam is walking in the city.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11438,he sees an old lady trying to cross the street.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11439,he sees an old lady trying to cross the street.,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
11440,he sees an old lady trying to cross the street.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11441,he sees an old lady trying to cross the street.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
11442,he sees an old lady trying to cross the street.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11443,He tries to take her across the street.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11444,He tries to take her across the street.,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
11445,He tries to take her across the street.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11446,He tries to take her across the street.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11447,He tries to take her across the street.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11448,She wasn't having it.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11449,She wasn't having it.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11450,She wasn't having it.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11451,She yelled at him.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11452,She yelled at him.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11453,She yelled at him.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11454,She yelled at him.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11455,She yelled at him.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11456,She yelled at him.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11457,Mariah was backstage organizing a play.,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11458,Mariah was backstage organizing a play.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11459,Mariah was backstage organizing a play.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11460,She needed to get to the other side of the stage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11461,She needed to get to the other side of the stage.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11462,No one was supposed to but she snuck behind the curtain.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11463,No one was supposed to but she snuck behind the curtain.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11464,No one was supposed to but she snuck behind the curtain.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11465,Nana came into the room with a puzzled look on her face.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11466,Nana came into the room with a puzzled look on her face.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11467,Nana came into the room with a puzzled look on her face.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11468,She held up an orange sock and a blue one.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11469,She held up an orange sock and a blue one.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11470,She held up an orange sock and a blue one.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11471,My daughter jumped up and grabbed the blue one out of her hand.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11472,My daughter jumped up and grabbed the blue one out of her hand.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11473,My daughter jumped up and grabbed the blue one out of her hand.,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11474,She took off running down the hall while waving the sock in the air.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11475,She took off running down the hall while waving the sock in the air.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11476,She took off running down the hall while waving the sock in the air.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11477,She took off running down the hall while waving the sock in the air.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11478,"Nana chased her down, caught her, and tickled her until she laughed.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11479,"Nana chased her down, caught her, and tickled her until she laughed.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11480,"Nana chased her down, caught her, and tickled her until she laughed.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11481,"Nana chased her down, caught her, and tickled her until she laughed.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11482,"Nana chased her down, caught her, and tickled her until she laughed.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11483,"Nana chased her down, caught her, and tickled her until she laughed.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11484,Bill went to buy candy at his local candy shop.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11485,Bill went to buy candy at his local candy shop.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11486,Bill went to buy candy at his local candy shop.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11487,He got his candy but he also met a pretty girl named Candy.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11488,He got his candy but he also met a pretty girl named Candy.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11489,He got his candy but he also met a pretty girl named Candy.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11490,He got his candy but he also met a pretty girl named Candy.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11491,He got his candy but he also met a pretty girl named Candy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11492,He got his candy but he also met a pretty girl named Candy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11493,After he got home he wished he would've gotten her number.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11494,After he got home he wished he would've gotten her number.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11495,He went to the store and asked the owner if he knew the girl.,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11496,He went to the store and asked the owner if he knew the girl.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
