,Unnamed: 0,story_id,first_sentence,second_sentence,third_sentence,fourth_sentence,fifth_sentence,label
217,217,a08255cb-edc5-49e5-a10c-a0f581a2bfe2 , My daughter got all the words on her spelling pre-test correct Monday. ," Because of this, she doesn't have to take the post-test Friday. ", She was so excited when she showed me her test. , She told me that not very many of the other kids got them all right. , My daughter was so proud of herself. ,1
218,218,e8ccddc5-f4e5-434f-9a41-b17997d426bf , Harry had just moved to England. , His new friends kept telling him to try fish and chips. ," Thus, Harry decided to go to the market to get fish and chips. ", Harry loved the fish and chips! ," Sadly, they made him very ill. ",2
219,219,e948a9b0-1f8a-4166-b43a-757387ea6ca0 , Sam and John went out to play some ultimate Frisbee one day. ," Upon arrival at the field, there was a pickup game of football going. ", Sam approached them and asked them to let him and John play as well. ," After a few minutes talk, they agreed and everyone played for a bit. ", Then they all went home. ,1
220,220,5a797fa1-07d2-47f6-b160-36e10ae5e63e , Tina is very tired every single morning. , She does not get enough sleep because of her two jobs. , Tina decides to quit one of the jobs. , She now gets enough sleep to function everyday. , Tina is well rested. ,2
221,221,b4e4e9db-8cc5-4b39-a4c7-894ed6af9c79 , My daughter has a list of things to do before she turns 40. , She is only 30. , One thing was to read the Bible cover to cover. , I decided to read the Bible again to support my daughter. , I want my daughter to have a spiritual life. ,0
222,222,7d177568-fd50-4c13-a5a5-929a12e765c5 , Amy called Kim. , She wanted to find out why Kim was being rude to her. , Kim was jealous of Amy's boyfriend. , Amy accepted her apology. , They decided never to let a guy come between them. ,1
223,223,ed31c050-341d-4ae2-9ec5-55da770d5e5b , Lauren finished her late night shift at the bar feeling tired. , She usually liked taking the bus home from work. ," However, tonight she noticed that the moon looked beautiful. ", She strolled home happily under the bright moon. , Lauren's husband was glad to see her feeling refreshed. ,1
224,224,05fa2554-9bb2-4abc-954f-6e21b2e52a5b , There was a boy with a paintball gun. , He wasted all of his ammo. , He was in the trenches trying to stay out of sight. ," Finally, he sprinted towards the flag. ", He was shot by members of the other team. ,2
225,225,8d833f98-114a-420f-adb2-53884b813034 , Celina is very old. , Her hips are always sore. , It is hard for her to walk. ," One day, she obtained a walker. ", It helped her a lot. ,1
226,226,048f5a77-7c17-4071-8b0b-b8e43087132d , Neil was visiting Limerick in Ireland. ," There, he saw a beautiful sight. ", He saw the large and lovely River Shannon! ," After a few minutes, he agreed with the locals. ", The River Shannon was beautiful. ,3
227,227,57046c72-5c39-47b4-88a1-6984ad1ac6b8 , Jay's team had been practicing all week for the big game. , None of the players looked like they knew what they were doing. , Jay's team lost the big game handily. , Jay bought the team pizza for trying so hard. , The team devoured the pizza and thanked Jay. ,2
228,228,dac71653-f4b0-4445-806c-ae724a693373 , Rachel really wanted some new make-up. ," However, she lacked money to purchase some. ", She went to the store and slipped some eyeliner into her purse. , She walked out of the store without anyone catching her. , Rachel went home and put the eyeliner on. ,1
229,229,5508c74e-4105-4b4b-805f-372aa58429ea , Maxine is tired of always getting so wet when it rains outside. , She considers moving somewhere without rainy but decides against it. , Finally Maxine buys a great new red umbrella. , She loves her new umbrella and she brings it everywhere. , She is happy when it rains now. ,2
230,230,a24013a2-ef41-41c2-9f7e-6a709b0ae280 ," One day, Misty saw some something strange at church. "," Someone had left a beautiful, fluffy kitty on the church doorstep. ", Misty and her mommy took the kitty home and named him Huckle. , Huckle proved a very funny kitty who liked to play with bags. , Misty was happy to have adopted the cat. ,1
231,231,c9c7f614-e8c1-4b07-890d-2b0ffc19cd47 , Derek is tired of living at home with his parents. ," One day, his friend suggested they move in together. ", He told his parents. ," That night, they packed his stuff. ", Derek was happy to finally be out. ,1
232,232,3acd901f-fea5-46fc-b7da-d9df8b42fe4d , Veronica knew she desperately needed to drink more water. , She didn't really want to turn to flavored powder products. ," While searching for ideas online, she stumbled across a fruit infuser. ", She ordered the cool bottle that holds fruit to flavor the water. , Veronica was trying to live more healthfully. ,1
233,233,1ee7c673-6fe4-415b-a1ac-75a6d9b25112 ," After school, Alex went to his friend's house to play video games. ", Alex didn't have any video games himself so he was excited. , Alex always loses when playing against his friend. ," However, he didn't care because Alex always has fun. ", Alex likes playing video games. ,1
234,234,6126881f-3a6f-421a-b2ae-b74b7a52dd96 , We spent our thirtieth anniversary on the California coast. , It was chilly and foggy and drizzly. , I had plans to spend time on the beach with my water colors. , On our third day we discovered a family of whales near the pier. , I painted a picture of the whales. ,1
235,235,98bdd522-48f8-49ed-bcda-fde95a663ee2 , Jenny always likes to go to Starbucks. , One day she was ordering her coffee. ," As she got to the window to pay, she was told it was already paid for. ", The person before her had paid. , Jenny paid for the order of the person behind her. ,1
236,236,fec30953-c68e-4d9d-9698-384bfe8fe857 , I became a Law and Order fan in 2011. , I was recovering from a stroke. , When I got home I tried to watch every episode. , It was hard trying to binge watch 20 Year's of a show. , Eventually I watched them all. ,1
237,237,35146100-1a33-4b70-ab26-4469198f909a , Everybody loved Bob because he played a popular character on film. , Bob hated it because he was nothing like that character. , Jim asked Bob to say his character's catch phrase. , It was too much for Bob and he exploded with rage. , Bob told the man to leave him alone. ,2
238,238,96e98dae-7c2e-4130-b6c2-4912c0e58938 , Lita wanted to watch her favorite show on television. , Her kids insisted that she sit down to watch it with them. , Lita told them that she had chores to do. , Her kids dragged her laundry basket to the living room. , Lita folded the laundry while watching television. ,2
239,239,39c953ff-bb04-4997-a6be-3f4b07e0db56 , Liv jumped as she was startled by a loud pop. , She realized it was the light bulb in her kitchen burning out. , She got out a footstool and stepped on to it. , It wobbled under her and she almost fell. , Liv then changed the light bulb. ,0
240,240,2b7745a1-9e3a-402d-a806-1eebfb18ad5a , Mother told her children it would be lunchtime in fifteen minutes. , But then she got an important phone call. ," While she was talking, the dog dragged mud all over the kitchen. "," The kids started to pester their mother, who was still on the phone. ", The mother felt quite frustrated. ,1
241,241,56b24969-0004-4731-99d6-ac4931df1b50 , Hector has always bought coffee at a local shop before work. , He realizes that his coffee buying habit is very expensive. , One day Hector decides to brew coffee at home. , He is proud that the coffee he made at home is so good. , Hector kept brewing his own coffee and saved money. ,1
242,242,eb653573-0e05-403a-b5a4-be7bd6ba3f99 , Kelly found out there was a new girl at school. , When she walked into the school she went looking for her. ," When she met her, she invited her to sit with her at lunch. "," When they ate lunch, the girls became friends. ", Kelly was happy to have made a new friend. ,2
243,243,dac6c4cb-422b-436e-ac83-7853ad91d9c6 , Laurie is going to her first formal dance tonight. , Her date picked her up and gave her a beautiful rose. , Laurie wore a long sparkling dressed. , They danced and had fun with all of their friends. , Laurie ended the night by kissing her date. ,2
244,244,9f53d98f-c1d9-4082-a9c7-1a95ed3de223 , Neil was exploring historic railroads. ," He rode into Scranton, Pennsylvania. ", He realized it was a beautiful old train depot. , He took lots of photos while he was there. , Neil saved the photos on his computer. ,1
245,245,553ec373-0500-4c63-979f-a446a17f550d , Bob dreaded his first day working at a fast food fish joint. , He planned to wait to put on his gaudy nautical uniform. , Bob got to work making fish burgers after donning the uniform. ," He was so busy, he forgot to change back into his street clothes ", Bob went out after work wearing the sailor suit. ,1
246,246,d84fcc97-0638-4dc8-a881-596c66b75e83 , A friend came to visit. , I told her that my dog bites. , She did not listen. , she tried to pet him and play with him. , My dog bit her. ,2
247,247,6001c530-a64f-4128-82db-deb6bd81e8b8 , Lester has always wanted to be more artistic. , He decides to try to draw a picture of a flower one day. , He sits in front of a beautiful orchid and begins to draw. , Lester's drawing comes out very well. , He hangs the picture on the wall in his living room. ,1
248,248,2ff39c6a-6eb8-4890-8e25-6b6af653046d , Pablo likes to eat worms. , He read a book in school on how to do this. , He fries them in olive oil. , He likes to do this at least once a month. , Pablo enjoys worms and views them as a delicacy. ,1
249,249,5bf65083-150d-4e08-a822-fd215ecd23fe , Kira always loved Japanese culture. , Many of her favorite movies were in Japanese. , She decided that she would travel there. , For Years she saved money for her trip. , It was the best trip of her life. ,2
250,250,a6e1d6d8-ddbb-4b54-a685-c642f4076e1b , Glen was in the mood for a walk. , He put on his jacket and went outside. ," While walking on the sidewalk, he tripped and busted his knee open. ", Glen stood back up and limped back to his house. , Glen swore he'd never walk again. ,1
251,251,8cc9a757-075a-4e47-95b7-2fa63dc8870c , Gina's sister cut her ankle on broken glass. , The blood ran down her foot and into her shoe. , When she saw the blood she ran home. ," Gina ran behind her, but couldn't keep up. ", Gina's sister went to the doctor. ,1
252,252,8ef45363-9070-477a-8f1f-8d7c947ea6dc , A little boy was in the third grade. , He was very smart but struggled with reading. , Whenever he read out loud his classmates laughed at him. , He started to practice reading every single day. ," At the end of the year, he did well on his reading test. ",2
253,253,a2878606-f05e-492b-a581-8b00346d40ca , Rosie's class was having a little party. , She decided to make a fruit salad for everyone. , She spent lots of money on the fruit and lots of time preparing it. , On the day of the party she scooped a huge bowl of the fruit salad up. , Rosie's class shared the fruit salad. ,0
254,254,5296a3e6-0e82-4711-b67b-9e7378ffb724 , Kelly was happy to have her new phone. , She took it with her everywhere. , Unfortunately she smashed it. , Thankfully however she was able to get it fixed. , The store gave her a fair price to fix it. ,1
255,255,7fa2b3d7-8046-403f-9a66-8198715ef31e ," While I was in college, I had met an older man. ", I was 22 and he was 38 years old. , We had a good understanding and had a good time together. , We stayed together the whole time I was there. , I have fond memories of that time. ,1
256,256,874de2df-c863-4200-9d60-5f1c915c0709 , Bob wanted to be in the school play. , He studied the part carefully. , He rehearsed his lines often. ," On audition day, he did a great job. ", Bob was very proud. ,3
257,257,3c516058-0aec-4a0c-906d-4b466715c38b , Jackie has been designated eighth grade hall monitor. , She is envied throughout the class. , Classmates often put her job in jeopardy. , They would steal Jackie's hall passes. , The principal suspended her rowdy classmates. ,1
258,258,713e6e15-793f-4951-9d47-3d4688d748a3 , My dad had just gotten a new car. , To celebrate we all went for a drive. , Another car ran a stop sign and crashed into us. , I smacked the window hard enough to break it. , I climbed out and me and my dad were ok. ,2
259,259,fcb6c166-4da5-4efb-8779-4ba6bdf1da2f , Iva and Brant were trying to conceive a child. , They had been trying for six months with no success. ," At their doctor's appointment, they expressed discouragement. ", But then they saw the doctor smiling broadly. , The couple will be happy to know they have a baby on the way. ,3
260,260,f3b7819d-89cc-4dcf-a560-18d70f6f2cf9 , Catherine has always been intrigued by the sport of Curling. , Catherine loves watching the athletes play the sport on television. ," One day, Catherine decided she would visit a Curling practice session. "," At the practice, one of the athletes invited Catherine to play. ", Catherine then began to practice every day and got good at it. ,1
261,261,041c9cd6-3351-4287-bf7d-56e1b8808341 , Francis has always looked forward to learning how to drive. , Finally he is old enough for a driver's license. , Francis studies very hard to get a license. , He passes his driver's test easily. , Francis is really proud of his accomplishment. ,1
262,262,4fd560d4-8d90-40f8-a572-9522f966fd97 , Yesterday I had a great time seeing The Nutcracker. , I absolutely loved it. , As the dancers graced the stage it was beautiful. , I felt honored to have seen the show. , I wanted to see it again. ,2
263,263,dc450ec8-ab03-47b8-af48-43623c8a369e , I woke up for my class at 8:30 in the morning. , I drowsily got out of bed and took a shower. , I quickly ate breakfast and began to walk to class. ," After 50 minutes of class, I began to walk back to my dorm. "," When I got there, I took a nap. ",1
264,264,f490c78c-ccae-49bf-a78f-54fcfb2a559b , Carlos has always wanted to visit France. , He decides that he should learn to speak French before he goes. , He enrolls in a night class and studies very hard. , Finally Carlos can speak French pretty well. , Carlos makes the most of his French on his trip to Paris. ,1
265,265,1ad78f7c-f5b0-4f1a-a09c-1223e6ed015e , I bought a television from an electronics store. , It is a big flatscreen with a  high definition quality picture. , The employee convinced me to buy a warranty for it just in case. , A week later the television fell off my wall and broke. , I was able to have it fixed with the warranty. ,2
266,266,5d2a39a0-b237-4184-bcfa-67d32f590daf , Jen's manager told her she needed to upload her resume. , She realized her resume was not formatted properly. , She transferred all of the content over to the proper template. ," Adding information on her latest job, she updated the resume. ", Then she sent it to her manager. ,1
267,267,f299c071-0f10-4051-9076-3af05bb94d25 , I needed to take my dog for a walk. , My neighborhood requires a leash. , I looked through my house for the leash. , I could not find it. , I decided to take my dog to the back yard. ,1
268,268,558ffced-fc9e-428c-8b62-4227a8ecf556 , Jen was waiting for a package all day. , Finally she saw the UPS man walking up to the door. , He delivered the package and she brought it inside. , She opened the package with a knife. , Jen found her new coat inside the package. ,1
269,269,61b5d18b-450c-4fb7-9f50-47d9df3c22eb , Timmy was competing in the 3 point competition at his school. , The winner would have a chance to win a $1000 college scholarship. , Timmy practiced shooting 3 pointers all weekend. , He was ready when the day of the competition arrived. , Timmy won the competition. ,2
270,270,81959648-7d1f-4f5e-a960-50465d1c6faf , Drake attended a party on Friday. , He discovered that his wallet had been stolen from his coat. ," Drake immediately called the police, but the wallet was not found. ", Drake confronted the host of the party about the issue. , And the host told him that he didn't know either. ,2
271,271,0a87c92f-e24d-48fb-b064-71e8c66d5f4b , Bob discovered his truck had a flat tire. , He had never changed a tire before. , He got out the tire jack and iron. , He couldn't remove the bolts. , Bob called someone to fix his flat tire. ,1
272,272,36c75e5c-8b93-4743-8104-122c769d1636 , Jack is tired of writing emails on his tablet computer. , He decides he needs to invest in a laptop. , He researches different laptops until he has found the perfect one. , Finally he buys it. , Now Jack actually enjoys replying to emails. ,2
273,273,bbc7c651-dd54-46ea-b057-7b001c105912 , Jake's hair was getting a bit too long. , He had a job interview coming up. , He asked his mother to cut his hair. , His mother gave him a nicely cut professional looking haircut. , Jake got the job. ,1
274,274,f884bcde-c243-4cfd-a9ad-3adeba0ef86a , Sean came over today. ," Sam, Sean, and I played games. ", They started to get mad at me about how bad I was. , They said I couldn't play anymore until I got better. , I was really hurt. ,1
275,275,12e51e6c-e3a4-4982-90f6-ed093f9ff0b8 , Sarah wanted to mail a card. , She went to the post office. , She paid for stamps. , She put the letter in an enveloped. , Sarah's letter was soon heading to its destination. ,1
276,276,4c58f47d-b444-4a16-a66b-553fc767130e , Chuck was tired from working. , He closed his work for a while. , He opened up the forum to chat with coworkers. , After those nasty Zoltar hits he needed this break. , He then felt compelled to get back to work. ,2
277,277,49701721-7d91-47c7-bed2-ad411562391f , Bob used plastic grocery bags to go shopping. ," Then, his friend told him that plastic is bad for the environment. ", Bob decided to forego his plastic bags. , Bob invested in some reuseable grocery bags. , Bob used his reusable grocery bags to go shopping. ,3
278,278,690b8307-74e5-42cb-a326-589b973bbe00 , Ann was trying to quit smoking. , She made several attempts but always failed. , Then she applied to nicotine patch to help her. , And help her it did! , Ann was able to quit smoking successfully. ,1
279,279,709db57b-125c-4434-b58d-f543070d8a27 , Jen got sent to her aunt's for the summer. , She hated the thought of being away from her local library all summer. , She took a few books with her but she would go through those quickly. , When she arrived her aunt took her into a special room in her home. , The room was full of shelves of books that appealed to girls. ,0
280,280,4010d4ae-e1f4-4348-8b20-91a774bf34ee , Joe loved to eat dirt. , He would make mud pies every chance he got. , He was eating a pie when he felt something very hard in his mouth. , Joe had bitten down on a rock and knocked out his tooth. , Joe decided not to eat dirt again. ,1
281,281,2e9fd58f-6036-4008-8c0b-c7d70cc43d2e , Rob has never been on a rollercoaster. , Rob's friends offered him a free ticket to six flags. , Rob decided he may as well join. , They all went and waited a long line. , Rob had generous friends. ,2
282,282,6d0772be-9406-4257-af59-ab5f2e819e81 , Amy came home from school on her birthday to an empty house. , She was upset that everyone had forgotten her special day. , She walked sadly into the living room. ," Suddenly, her friends and family jumped out from their hiding spots. ", Amy grinned with delight. ,3
283,283,3e13600e-4a0f-42dd-876d-9741076fc465 , Pan tried to hit me for no apparent reason. ," As mad I was, I simply defended her punch. ", She continued to throw her fist at me. ," In efforts to stop her, I threw her on the ground. ", Pan finally stopped. ,3
284,284,bf8b9f77-692d-4873-a7e5-30dec273eb4d , May was accepted to college in Fredonia. , She took the bus to her new school. , She explored the campus. , She loved everything she saw. , She even liked all of her professors. ,0
285,285,ae97dd54-084b-45d1-aa4e-eaad35b58cc8 , Mary needed to have teeth pulled. , She wanted the dentist to put her to sleep. , All he could do was numb the area with Novocaine. , Mary stared at him in horror. ," After seeing her expression, the dentist was able help Mary. ",2
286,286,a76f857c-34a6-4409-a2d5-1255ba6cf5e9 , Jim was waiting at the airport. , His wife would be there in an hour. , He was very bored. , He then decided to catch up on his book. , Jim saw his wife after an hour. ,0
287,287,54ec0b0d-355e-484f-8554-315daf68fc44 , Joe really wanted to attend Columbia University. ," He worked really hard in school, was on the soccer team. ", He got put on the waiting list. ," Although he was disappointed, he tried his best to the very end. ", Joe was still very proud of his hard work. ,2
288,288,f5a85657-b572-43dc-adb4-b62c8d4d023d , Gina's friend Tami had a folder she didn't want anyone else to have. , Gina wanted one but didn't know where to buy one. , Now Tami had a new Lisa Frank Trapper Keeper. , Gina was jealous since she wanted one too. , Gina checked on ebay and found one she could afford. ,0
289,289,7c80498a-801e-4d4b-86f1-bfbea4247fb2 , Leah had a beautiful Christmas tree in her house. ," One day, she left to go to the store. "," When she returned, the tree was knocked over. ", Her cat had climbed it and pulled it down! , Leah chastised her cat. ,1
290,290,8bb526c3-f617-4311-a762-e38db6085589 , Rex is getting ready for a party tonight. , He realizes he hasn't prepared anything for guests to eat with cheese. , Rex runs out to get a baguette. , He slices it into thin even slices to make it easy to eat. , Everyone enjoyed the cheese and bread. ,1
291,291,c9e0ad92-16a3-4721-b221-bc7a7ea72195 , The football team had worked hard all season. , They had won every game and made it to the championship. , There were only seconds left on the clock and the game was tied. , The quarterback through a long pass and the receiver scored. , The crowd all stood up in their seats and applauded wildly. ,2
292,292,4e5aa3fc-f0a5-4426-8fde-3229bbb1edb0 , We live in a high rise building. ," One day the wind was strong, partly due to the height of the building. ", The wind blew the tree branches so much my wife could not sleep. , The wind also knocked down the internet cable. , My wife and I were very unhappy to lose our internet connection. ,2
293,293,b287eeca-7682-4a3f-8b60-d7529988dc1c , Amy's family was going to Six Flags. , She sat patiently in the car waiting to arrive. , When the arrived she sat on her knees surveying the park. , She waited in line for an hour to ride the largest roller coaster. , Amy was really excited to be at the park. ,0
294,294,682caf9c-0809-49e6-8257-3912e1a3d193 , Bobby folded his fruit roll-up into the shape of an airplane. , He wound up his arm and threw roll-up airplane as hard as he could. ," It was far too heavy, though, and fell like a brick. ", Bobby decided that planes should be made out of paper. , Bobby was five years old. ,1
295,295,a2af46c3-ab6c-4b15-b3e4-205b55d5dd76 , Sam was stargazing one night. , Suddenly he sat bolt upright. ," He saw a twinkling, moving star! ", He ran to show it to his dad. , His dad laughed because the star was really a jet with lights. ,3
296,296,e7cda60f-1f70-44c6-b021-f485beb6c2bc , Beth was recovering from an illness. , She was finally able to eat food after 4 days. , Although she was better she wasn't well. , She decided to take Friday off from school and take time to heal. , Beth needed to rest. ,1
297,297,c77e19e5-ec84-4ac4-9a77-904b12a882e0 , The sea was frightening during a storm. , Marcus hated the way the boat rose up and crashed down. , It made him sick to his stomach. , He cowered in his cabin and shut his eyes but it didn't help. , Marcus then vomited from sea sickness. ,1
298,298,a9ca9655-b64d-48c8-96dc-b14a9bc94890 , Chuck loves this bar by his house. , He goes there all the time with friends. , He was on his way there one day and noticed it was closed. , It had been put out of business. , Chuck was upset. ,2
299,299,3e6404e3-86cc-436f-9cec-40f6f922cafe , John was driving to the store when he realized he forgot his wallet. , His driver's license was in the wallet. , Police lights started flashing behind him. , After pulling over he told the officer he forgot his wallet at home. , The officer was understanding. ,3
300,300,873a9a34-e68a-4971-a397-0ce28140bcba , Tom enjoyed puzzles growing up. , He was not just outside of the escape room adventure. , He calmed his breathing and readied himself mentally. ," Thirty minutes later, he exited the escape room in record time. ", He felt pride in his accomplishment. ,1
301,301,4815c7d1-73db-40cb-b70f-c216c8e8b7a3 , Gina was bored while cleaning her room. , But it had to be done. , She decided to turn on the radio. , There was a song she never heard before. , She enjoyed the song. ,1
302,302,27e6ed53-de20-4969-ac97-d1c767e66e8b , A small snowstorm came through a town. , The school roof buckled under the weight. , A janitor climbed on top to inspect. , The roof shook under the new weight. , The janitor was frightened. ,1
303,303,26e62478-4a62-4f71-8449-26edcf3905c0 ," One day, a dog moved into a family that had two cats. "," One cat didn't mind the new dog, but the other cat was scared. ", He meowed loudly and scratched the dog's nose. , He leaped from one side of the room to the other to escape the dog. , The dog found him and mauled him. ,2
304,304,ba6be46b-029c-49d7-a56b-f8ec2f6f774a ," Everyday, I nag my daughter to do her homework. ", I finally decided that it is her own responsibility. ," Sure enough, she didn't do it one evening. "," I sent her to bed anyway, knowing she would get in trouble at school. ", She ended up making a bad grade on the assignment. ,2
305,305,73f5afd2-f1e4-420c-b536-ac86aed95ca5 , Farmer Bill called out the the cows in the field. , The came running in for their food. , Bill poured out some grains for the cows in big bins. , The cows happily ate their dinner. , Bill was proud of his work. ,1
306,306,3f7f71e4-82a7-4ad4-8bb1-4a02e11cb1b9 , There is a cemetery with 199 grave stones. , 12 men brought a casket. , 12 men put the casket in the ground. , Men and women wept together. , They mourned for losses. ,3
307,307,af7b1f70-856a-4394-92f1-ecc901678956 , Joe felt confident going into his boxing match. , He dominated the first four rounds. , He got hit with a left hook that cut his eye in the fifth. , The last seven rounds were a back and forth affair. , Joe eventually won the fight. ,2
308,308,d88e0944-c71a-4c76-b100-44e42247fb1d , My son participated in a cub scout toy car derby. , Father and son teams designed small matchbox cars. , Some teams designed fancy cars. ," We designed a simple car, which actually won the derby. ", My son was happy that we won. ,3
309,309,c5c0be96-86bb-43f7-8c71-f1c475cedf65 , Brian tried out for the hockey team this year. , Unfortunately he did not make the team. , The coach said that he needed to be faster on skates. , Brian spent all winter working on his speed skating. , He eventually made the team. ,1
310,310,4bc45635-2e6f-4bd1-bbfc-c66db6521b7b , Ellen had a baby daughter who slept in a crib in her own room. ," One morning Ellen did not hear her baby fussing, so she went to check. ", Her daughter was not moving or breathing! , Ellen called the police in a terrible panic. , Ellen was horribly afraid. ,3
311,311,063223d1-69ca-4296-baa6-295672e57351 , Anna went to the beach. ," The tide drew out, and she saw a tide pool. "," She went to inspect it, and she was amazed at all the life in it. "," There were fish, sea urchins, starfish - it was incredible! ", Anna watched the sea life and thought about the wonder of nature. ,1
312,312,fc29e5b6-8c96-4775-ade3-b71506c02c75 , Troy was the best player on his basketball team. , His team was playing in the championship game tonight. , Troy scored 56 points to win the game for his team. , He carried a huge trophy after the game. , The next morning he found he'd made the front page of the paper. ,2
313,313,6bf5185c-501a-449b-bc7b-c096f66c18d7 , Arnold was scared of birds. , One day he was at a picnic. , A bird was flying in the distance. , It landed on his food. , Arnold screamed in terror! ,0
314,314,5a4e4ff0-d972-4991-8f91-bcf4dae1288e , Benson was bullied at school by another boy. , Benson began losing sleep about it. , He finally told his teachers at school about it. , The teachers approached the bully about the problem. , The bully was expelled. ,1
315,315,2d1c5e85-93b9-41a6-8c0f-f8e6035fe78e , My father and I were making space for plants in the backyard. , We dug for several minutes trying to make room. , I found a box that was buried in the ground. ," When I looked inside, there was a dead animal. ", I put the box back and found another place to dig. ,1
316,316,069fe406-47af-4c57-ae9c-2ffea2a0f7ee ," Karen had gone away for school, leaving behind her partner Sam. "," Sam was missing Karen, but he had a plan to fix that. "," On a long weekend, Sam took the train upstate to go visit Karen. "," Karen who was missing Sam, had a plan to fix it as well. "," She traveled home to see Sam, and they missed each other! ",1
317,317,0f277b11-2ac7-4769-b857-6055461ec558 , Diana cleans offices buildings for a living. , She washes toilets and scrubs floors. , On Friday she was really sick and nauseous at work. , She couldn't take the day off. , She threw up in the toilet. ,1
318,318,dce8a563-9c78-4ace-8ca1-3e1b6fd2b1b6 , Todd and Ashley were dating. , Todd got irritated with Ashley. , He gave her the silent treatment. , Ashley got upset. , She decided not to speak to Todd either. ,1
319,319,5df54bbd-457e-4c76-be01-e6ece9d8a254 , My friends and I got invited to a party at college. , We got all dressed up for the exciting event. , We were all so excited to have fun! ," At the party, we danced the whole time. ", We had a great time! ,1
320,320,99d2fd49-f52a-4c24-89c7-3b346f4c5169 , Kelly and her friends decided to have a baking party. , The girls decided to bake some cookies. , They baked chocolate and oatmeal cookies. , After they were done they wrapped them in bags. , They handed them around to all the neighbors. ,0
321,321,0c375b3e-3b7c-4bd0-acdc-7d4e71b8dbf8 , It was a very cold day. , The snow was coming down very hard for many hours. , The people of Lansing were stuck in their homes without power. , The storm brought three feet of snow to the city. , School was cancelled. ,1
322,322,c56e19f8-ebcb-4986-b474-ddd42dbbdfee , Larry was playing golf with his father. , Larry was feeling really energetic from his coffee earlier. , He hit the ball as hard as he could on his first swing. , Larry got a hole in one! , Larry was excited  to have scored his first hole in one. ,2
323,323,103b8bac-e6b4-4682-a040-5090410685d1 ," Recently, I became very unhappy with my job. ", I decided to look around for a new one so I would be happy. , I applied to many different places. , One place called me back and I went for an interview. , I went to the interview and was happy to get the job. ,1
324,324,930c9d40-894e-49ec-ab5e-e99632fc7136 , Lindsey really wanted a new pair of shoes. , The shoes were very expensive. , She decided to save up her money. ," After several weeks, she could get the shoes. ", She bought and enjoyed the shoes. ,0
325,325,bf5a0b2e-43fa-4e0d-957f-7beff5009909 , Ora had been dared not to shower in order to join a sorority. , She couldn't imagine going without clean water for a week! , Then she thought of a loophole. , They hadn't said Ora couldn't take a bath! , Ora took a bath. ,1
326,326,261f4708-683f-4aba-8fa5-5b267ebeef0c , Nya wanted to see the parade downtown. , She caught three buses. , Then she took the subway. , She made it downtown just in time. , Nya was excited to be able to watch the parade. ,2
327,327,9ac3e4b0-0a7a-4dd2-ad10-7d8a7bc8edb6 , Madeline was thrilled to get a new purse at Saks. , Her mother took her to the bag department. , Madeline immediately saw a pink bag she loved. , She could not believe how amazing it was. , Madeline's mother happily bought the bag for her. ,2
328,328,1d503d1e-84cf-4461-86f0-948a27c9330c , Tom bought a new plant. , He kept it by his bed. , The plant stopped growing. , His mother said it needed sunlight. , So Tom moved the plant to a window. ,2
329,329,148092ae-3c1b-449f-9901-8057f5dd76c3 , Yu Darvish is a pitcher for the Texas Rangers. , For the last two seasons he has been injured. ," According to reports, he is finally healthy and able to play. ", Ranger fans are hopeful he will be a leader for their pitchers. , Ranger fans are looking forward to his return. ,1
330,330,42736ec0-16cb-4e19-9404-d48ca24d08f2 , Chester decides to go to the mall one afternoon. ," He does not intend on buying anything, but just wants to walk around. "," However, he sees a very nice shirt on sale. ", Chester buys the shirt because the price is so good. , Chester was very pleased with the shirt he bought. ,0
331,331,5e7c3657-d66c-4d1a-aba3-8ce8fb109538 , Gina realized she needed to get to work on her report. , She had wasted the whole day and only had one left to complete it. , She sat down and began to work. , Her mother wanted her to wash the dishes. , Gina wished she hadn't wasted her day. ,2
332,332,7abd6e73-645c-4ab4-a63d-2a232eea4d1d , Tuesdays are laundry days at my apartment. , We have been too busy the last couple of Tuesdays. , Now we have almost no clean clothes left. , I'm dressed foolishly and still smell bad. , I will do laundry right now. ,2
333,333,6e61a007-5fa7-4275-b45c-9a2d7a8ad2a8 , Meghan and Scott wanted to see their favorite band play in a concert. , Tickets went on sale online and the server was very busy. , Meghan and Scott were trying hard to buy tickets. ," Just when the concert was almost sold out, Meghan found two tickets. ", They were so relieved. ,1
334,334,1bbba135-3f42-4f1b-9bb4-6fcc69df64f0 ," John had just graduated high school, and was about to go to college. "," His mom helped him pack all his stuff, and he drove away. "," When he got there, he went to check out his dorm. "," His new roommate was there, and they hit it off. ", They walked around campus and got invited to a party. ,2
335,335,50e7e0b7-5c28-462d-8bd6-3bdfecf1f40f , Jackie had been a long distance runner for many Year's. ," Despite her very full iPod, she became bored with music. ", One of her running friends recommended an audible book. , She loaded a new release to her iPod. , She listened to a book while she ran. ,3
336,336,9fdef8c0-2910-4eb7-8f79-979dea4b7aa1 , Jan was tired of winter and cold weather. , She saw a commercial advertising a car that would be great for a trip. , She bought the car and planned the trip on a map. , She drove all over the state of Florida. , By the time she got home it had become warmer due to spring. ,2
337,337,c761de18-82df-47ad-a7ba-1e97533a2406 , Neil had just arrived in Iran. , He was enthralled with the cities and countryside. , He thought the mountains were so beautiful. , The language and people were wonderful too. , He was happy to be in Iran. ,1
