,emotion,plutchik,selection0,selection1,label
1976,"['irritated', 'upset', 'left out', 'forgotten', 'happy', 'entertained', 'content', 'entitled']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 0}",He has been playing games on it for 5 hours.,They decided to get married.,0
1977,"['excited', 'happy', 'encouraged']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Her blog started to become popular.,"Once, Joe tried out wheelchair rugby.",1
1978,"['amused', 'awe', 'embarrassed', 'cool', 'noticed']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Him and his father loved the Lakers.,Many of his friends immediately noticed it at a late night party.,1
1979,"['angry', 'hurt', 'pained']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 1, 'disgust': 2, 'anger': 2, 'anticipation': 1}",Tim had picked poison mushrooms!,Landed in just a way that cause my elbow to break.,1
1980,"['loving', 'happy', 'excited']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I accidentally got ink on my lips.,They both went to the skate park together.,1
1981,"['proud', 'passionate', 'happy']","{'joy': 3, 'trust': 2, 'fear': 0, 'surprise': 3, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","So, Sam rode his bike the ten miles to his pal's house.",Emmie was so excited to be a big sister!,1
1982,"['afraid', 'nervous', 'embarrassed', 'worried']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",But she struggled to stay afloat.,He did this until he was 80 years old.,0
1983,"['happy', 'loved', 'lucky', 'positive', 'proud', 'lively', 'pleasant', 'relieved']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",We've now been together for four Years and three months.,Jen tried to mop the water up with some toilet paper.,0
1984,"['joy', 'proud', 'enjoying']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",My friends and I had fun in our new clubhouse.,Sammy accepted their author.,1
1985,"['cautious', 'hopeful']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He hoped he could raise food for his family.,The conversation was on trivial fluff that served no purpose.,0
1986,"['upset', 'intolerant']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Tom was disappointed and decided to work on his fake accent better.,I told him I couldn't take it anymore.,1
1987,"['worried', 'panic', 'confuse']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 2, 'disgust': 2, 'anger': 1, 'anticipation': 2}",He looked inside and saw the Home Ec class had baked pies.,Jane thought she left it at the restaurant.,1
1988,"['proud', 'happy']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Jen didn't notice the sink's plug was down.,John recently bought a new computer.,1
1989,"['curious', 'fortunate', 'adventurous']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He slept in late too many times.,He decides to visit the country of India next.,1
1990,"['sad', 'embarrassed', 'sheepish', 'upset', 'ashamed']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 1}",But Ursula cut her hair very short and her boyfriend recognized her.,They got kicked out,1
1991,"['uneasy', 'terrified', 'scared']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She got very scared however.,"He ended up losing control, and fell.",0
1992,"['indifferent', 'hated', 'unappreciated', 'okay', 'understanding', 'happy']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She watched the first act while trying to calm herself.,"He hated customers, but loved working with the fruit.",1
1993,['angry'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 3, 'disgust': 2, 'anger': 2, 'anticipation': 0}",A week later she said the same thing.,"When she got home, she was too tired to finish her project.",0
1994,"['bad', 'angry', 'lost', 'culpable']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 2, 'anticipation': 0}",The offer he got for returning it was bad since he already opened it.,She looked down and smiled.,0
1995,"['eager', 'happy', 'hungry', 'excited', 'relieved']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He browsed the selection.,"After the family set up the food, we all sat down.",1
1996,"['loved', 'excited', 'better']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I had to email a photo to save to my new computer.,"One day, his friend gave him a really thoughtful Christmas gift.",1
1997,"['fatigued', 'relaxed']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 2}","At his new house, he unloaded all of the boxes.",He was tasked with discerning humans from bots.,0
1998,"['confused', 'sad']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 3, 'disgust': 1, 'anger': 1, 'anticipation': 2}","While walking by the studio today, I saw our portraits in the window.",She was very upset and started to cry.,1
1999,"['happy', 'disappointed']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}","Soon, the park was full of cars, loud radios and barking dogs.",He added a bit of spices and that was it.,0
2000,"['unfriendly', 'embarrassed', 'annoyed', 'rejected', 'mad', 'upset', 'betrayed', 'indifferent']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 0}",She refused to accept it.,Tim was downtown with friends.,0
2001,"['spooked', 'scared', 'nervous', 'uptight', 'weird']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She walked away from the window and tried to ignore them.,The stroke limited my ability to walk.,0
2002,"['happy', 'proud']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",A father and son went out to play catch.,He wore a jacket with a logo of a company he did business with.,0
2003,"['inconvenienced', 'content', 'disgusted']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 2, 'anger': 1, 'anticipation': 0}",She bought a sandwich for lunch.,He finally realized it was daylight savings time.,0
2004,"['competent', 'impressive', 'productive']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He learns all the latest moves.,"One day, his singing was annoying his teacher.",0
2005,"['angry', 'spiteful']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 2, 'anger': 3, 'anticipation': 1}",David was interviewing a witness.,He then took his ball and rolled it at the hat.,1
2006,"['competent', 'sad', 'disappointed', 'defeated', 'happy', 'entertained']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 0}",I won tied the first game and lost the second.,The redneck had lain the turkey on plywood in the back of his truck.,0
2007,"['scared', 'afraid', 'frightened']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",There were so many people on the bus it was hard to find a seat.,"A brown bear wandered into the kitchen, drawn by the smell of cookies.",1
2008,"['accomplished', 'creative']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The car needed new spark plugs.,Mila was working on a sewing project.,1
2009,"['irritated', 'positive', 'disgusted', 'confused', 'happy']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 2, 'anger': 1, 'anticipation': 1}",A person offered his seat to Matt if he gave him $20.,Brandon drank beer a lot.,0
2010,"['smart', 'environmentally friendly', 'happy']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Dan was pleased with his decision to get solar panels on his home.,They played until they were tired.,0
2011,"['grateful', 'accomplished']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","When I got there, Bobby surprised me.",Rico is happy he asked his father for help tying a knot in a necktie.,1
2012,"['cautious', 'annoyed', 'awkward']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 0}",She decided to try to make baked apples for the first time.,"Gary didn't notice however, he was running towards her.",1
2013,['excited'],"{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",I had to learn how to water ski.,Edgar was going to Hawaii.,1
2014,"['anticipation', 'ready', 'nervous', 'defeated', 'sad', 'proud', 'excited', 'stunned']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",But she only became more confused.,"In a stunner, 10th seeded Syracuse upset number 1 seeded Virginia.",1
2015,"['stupid', 'sad']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 3, 'disgust': 1, 'anger': 3, 'anticipation': 1}",Tim was forced to shut down shortly after.,She began to sing for the entire school audience.,0
2016,"['happy', 'excited', 'anticipation']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Nick drove to a venue to see his favorite band live.,Now I have to wear this cast for 4 weeks.,0
2017,"['happy', 'excited', 'satisfied']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",His mother told him he wasn't real though.,When she got there they pieced them.,1
2018,['nostalgic'],"{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",We would hang this glass pickle on the Christmas tree.,The entrepreneurs had an idea.,0
2019,"['sad', 'anxious', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 1, 'anticipation': 0}",He was flustered because everyone at the gym was fit.,She bought an iPad on a whim.,0
2020,"['satisfied', 'happy', 'proud', 'relaxed']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Charles is happy about his date and feels relaxed.,"Russell, a sergeant, wanted to prove himself.",0
2021,"['proud', 'happy']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Timothy was proud too.,"After a scary night, he was found and rescued.",0
2022,"['good', 'excited']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Kaitlyn had ordered a new cell phone.,He set up his big screen tv in the backyard.,1
2023,"['happy', 'relieved']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","He got a cat, and his mice problem is over.",Her delighted laughter ringing through the air.,0
2024,"['hopeful', 'fun']","{'joy': 2, 'trust': 1, 'fear': 2, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 3}",Then he saw that the jail had a GED program.,"Luckily, Cam got the job!",0
2025,"['inspired', 'gracious', 'satisfied', 'thankful', 'happy']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Delia's dental hygienist asked her whether she flossed.,They both had a great day.,1
2026,"['excited', 'reliable', 'anxious']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",His dad encouraged him to practice.,First he found a recipe for it on the internet.,1
2027,"['sad', 'anxious', 'depressed', 'worried', 'helpless']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Her mommy couldn't figure out why she was so upset all day.,It was the only place at her grandparents she could be alone.,0
2028,"['hopeful', 'anxious', 'excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}","It was outside at the park, but there was a covered picnic shelter.",The order number had been accidentally switched.,0
2029,"['happy', 'joy']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She stopped crushing her cans.,Morgan loved riding her bicycle.,1
2030,"['stressed', 'hopeful', 'desperate']","{'joy': 0, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She was browsing when she bumped into a familiar face.,He needed to pay for his car.,1
2031,"['happy', 'surprised', 'glad', 'content', 'connected', 'nostalgic', 'fun']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She doesn't like going to the doctor.,Their kids had played Little League on the same team.,1
2032,"['fun', 'happy', 'relieved']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Ella and her friends still managed to have fun.,He always cried.,0
2033,"['relieved', 'grateful', 'babied', 'tender', 'scared', 'nervous', 'nurturing']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Her mom came and saved her and put a bandaid on her boo boo.,Jason and his friend Jeff wanted to have some fun with matches.,0
2034,"['accomplished', 'loved', 'happy', 'excited', 'trusting']","{'joy': 2, 'trust': 3, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Gary asked Pal to make a handshake.,He learns all the latest moves.,0
2035,"['happy', 'hungry', 'grateful', 'successful']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He heads out to investigate at sees a huge bear!,I gathered several pounds of blackberries and raspberries.,1
2036,"['peaceful', 'relaxed']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He was relaxing under a palm tree at the beach.,Luckily the shark swam away.,0
2037,"['friendly', 'happy', 'excited']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",John's buddy came in and shook John's hand.,"He would never get involved with activities, but just watch.",0
2038,"['lazy', 'tired']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He had been entrusted to make sure the burgers were perfect.,But he didn't feel like cooking or preparing food.,1
2039,"['anticipation', 'determined']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}","Chuck had a big track meet coming up, and wanted to get a medal.",He claimed they could corrupt his children's minds.,0
2040,"['happy', 'excited', 'overjoyed', 'calm']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",It really made my feel lonely.,"When the delivery time arrived,lollipop delivered four puppies.",1
2041,"['anger', 'upset', 'sad', 'deceived', 'positive', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 2, 'anticipation': 0}",Lori deleted Ashlynn from Facebook.,Their kids were excitedly happy.,0
2042,['amused'],"{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 2, 'anger': 0, 'anticipation': 0}",People thought his shoes were weird.,"Nervous, she looked on the Internet for the meaning of her sensation.",0
2043,"['authoritative', 'irritated', 'angry', 'responsible', 'annoyed', 'sad']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",They all felt good for a job well done.,Dan told his daughter that she could not get any candy.,1
2044,"['hesitant', 'apprehensive']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 2}",At first I did not want to try this coffee beer.,On the walk Rose's dog saw a squirrel.,0
2045,['nervous'],"{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}","When she got her results, she looked.",Mary was relieved to learn that Josh had two giant cavities!,0
2046,"['angry', 'important', 'happy']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 0}","We listened attentively, and decided to be kind to him from then on.",He falls to the ground in pain.,0
2047,"['hungry', 'excited']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",For dessert Kate wanted cheesecake.,She sent an email to tech support.,0
2048,"['good', 'resourceful', 'constructive']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Mario disagreed.,I used a hot glue gun to attach a piece of fabric to the costume.,1
2049,"['happy', 'excited', '']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Terrance drinks his pain away.,He was happy to see the performance of his favorite actor.,1
2050,"['regret', 'sorry', 'dissatisfied']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 2, 'disgust': 2, 'anger': 2, 'anticipation': 0}",She go a huge bucket of ice cream and a spoon.,Now he only had a chainsaw and the accouterments which went with it.,1
2051,"['worried', 'confused']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 1}","The next day, I called the dentist so he could look at the sore.",Tammy's new bra fit better than any before.,0
2052,"['relaxed', 'happy', 'exhausted']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Corinne walked out very slowly repeating her single line to herself.,And he ended up calling a cab.,1
2053,"['guilty', 'lonely', 'bored', 'angry', 'sad', 'dejected', 'aggravated', 'strong']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 2, 'anger': 1, 'anticipation': 1}",Cliff still lived with his parents.,Mary hasn't spoken to Dan since!,1
2054,"['aggravated', 'annoyed', 'upset', 'sad', 'stupid', 'angry', 'shocked']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 2, 'disgust': 2, 'anger': 2, 'anticipation': 0}",One day the Denzer family decided to track their ancestry.,Five minutes later he returned to a grill full of burned burgers.,1
2055,"['tired', 'good', 'happy']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He first fed his favorite chicken Betty.,She wheeled around the store and gathered her items.,0
2056,"['excited', 'hungry']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He found some old meat in the fridge.,He prepared the coals and had the steak ready to cook.,1
2057,"['joy', 'excited']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She was practical in everything she accomplished.,My daughter wanted to wear her toy butterfly wings to school.,1
2058,"['elated', 'happy', 'excited', 'confident', 'proud']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",We each had brought binoculars to watch the birds.,Johnny was happy with his bargain shopping.,1
2059,"['ready', 'prepared', 'satisfied']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She would put it over her clothes when she was cooking.,For 3 weeks Tom got his exercise by chopping firewood.,0
2060,"['unappreciated', 'sad', 'worry']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Josh began to worry he wouldn't have time to date again.,One day while at the mall he saw a sign for a video game tournament.,0
2061,"['relaxed', 'happy', 'moved']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Gina wasn't talking to Rita or Mary.,He wanted to hear the base.,1
2062,"['adrenaline', 'loved', 'shocked', 'happy', 'excited', 'elated', 'surprising']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","But when he got home, dozens of people jumped out at him.",Chad got out at 12 am to get the cookies.,0
2063,"['anticipation', 'happy', 'excited', 'competent', 'competitive', 'enjoyment']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She was going to be late so she ran out.,Ben liked to compete with his dog in Schutzhund tests.,1
2064,['exhausted'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",It was the opposite for the clown never came he got too drunk.,Gary had been hunting the deer down for hours.,1
2065,"['confuse', 'stupid', 'out']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He drove too fast and struggled just to keep the car straight.,He felt like the biggest idiot.,0
2066,"['stubborn', 'self confident', 'ignorant']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",They listened to it together.,He had never wanted anyone's opinions before.,1
2067,"['sneaky', 'surprised', 'happy', 'pleased', 'relief', 'thankful']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",So on Monday she surprised him with the fishing trip plan and passes.,His team was good enough to make the finals game.,0
2068,['upset'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 1}",Dan tripped on a nail sticking out of his front porch entry.,The lady was upset there were only 10 available.,1
2069,"['helpful', 'responsible', 'worried', 'angry', 'sad']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Tom filled out a report and asked for help.,Kate hated vanilla.,0
2070,"['exhausted', 'taxed', 'dissatisfied']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The chief let them all slide down the fire pole.,The work was difficult.,1
2071,"['upset', 'scare', 'sad', 'worry']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 0}",He spent most of the season chasing cod.,But he later found out about its high sugar content.,1
2072,"['happy', 'competent', 'excited', 'proud']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","Touched, she took him home to her daughter.",We had games for kids.,1
2073,"['worried', 'concerned', 'unprepared']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 3}",She loved to brush his hair and throw a ball to him.,He has not studied at all.,1
2074,"['refreshed', 'happy', 'satisfied']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",And she wanted to show her friends that she could swim.,Finally as the sun went down they packed up and headed home.,1
2075,"['happy', 'entertained']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Tom was out swimming with friends.,David brought his umbrella with him everywhere.,0
2076,"['frustrated', 'sad']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 2, 'anticipation': 0}",Since it was a workday it was pretty quiet with just a few dogs.,At first the flute lessons were very difficult.,1
2077,"['sad', 'pleased', 'happy']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The scientists were helping the students learn.,The kite flew up into the sky.,1
2078,"['unsatisfied', 'famished', 'agitated', 'irritable']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Tom was really hungry.,Bill's brother got knocked out because he was drunk.,0
2079,"['sadness', 'upset', 'disappointed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 0, 'anticipation': 0}",The boxes she received from the farm were smaller than she expected.,The price was too high and he quit.,1
2080,"['ashamed', 'embarrassed', 'surprised', 'uncomfortable', 'overwhelmed', 'disgusted']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 0}",When I got to school people were coughing.,There were black people there but they said nothing.,0
2081,"['excited', 'glad', 'happy']","{'joy': 3, 'trust': 2, 'fear': 0, 'surprise': 3, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She would tell everyone that Alice lived in cardboard box.,Franklin got a toy robot for Christmas.,1
2082,"['disappointed', 'disinterested']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 2, 'disgust': 2, 'anger': 1, 'anticipation': 1}",Grandma was able to finish cooking for the entire family!,Gina didn't like 2 of the books she checked out.,1
2083,"['kind', 'annoyed', 'put upon', 'relief', 'happy', 'relieved']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She was happy when he agreed.,Surprisingly enough I did a good job.,0
